  112     81    202  Landon Potts          Calvin-B                                27:42.3  3:28/K    JR
  113  (> 7)    224  Ben Davis             Case Western                            27:42.5  3:28/K    JR
  114     82     34  Nathan Waite          Adrian                                  27:43.2  3:28/K    JR
  115     83    155  Logan Kimmel          Bethel (Ind.)                           27:45.7  3:28/K    SR
  116     84    151  AJ Fraser             Bethel (Ind.)                           27:46.2  3:28/K    SR
  117  (> 7)    195  Nick McKee            Calvin                                  27:46.3  3:28/K    SR
  118  (> 7)    100  Devon Joslin          Aquinas                                 27:48.8  3:29/K    JR
  119  (> 7)    554  Andrew Kurtz          Ohio Northern                           27:49.7  3:29/K    SO
  120     85    340  Brad Wise             DePauw                                  27:50.2  3:29/K    SO
  121     86    160  Taylor Neff           Bethel (Ind.)                           27:50.8  3:29/K    FR
  122  (> 7)    236  Ben Whitman           Case Western                            27:51.3  3:29/K    FR
  123     87    208  Hendrik Vermeulen     Calvin-B                                27:52.5  3:29/K    FR
  124  (> 7)     97  Steven Griffith       Aquinas                                 27:52.5  3:29/K    FR
  125     88    162  Jarrett Walbolt       Bethel (Ind.)                           27:54.7  3:29/K    FR
  126    DNS    644  Josh Risner           UNA-Aquinas                             27:54.7  3:29/K
  127  (> 7)    633  Jesse Unzueta         St. Francis (Ill.)                      27:55.9  3:29/K    SO
  128     89    330  Kevin Kenney          DePauw                                  27:56.0  3:30/K    FR
  129     90    285  Colin Krick           Defiance                                27:57.0  3:30/K    SO
  130     91    338  Josse Smith           DePauw                                  27:59.2  3:30/K    FR
  131  (> 7)    406  Matt Adair            Indiana Tech                            27:59.8  3:30/K    JR
  132     92    474  Rocco DiMatteo        Lake Forest                             28:00.2  3:30/K    SO
  133  (> 7)    420  Matt Rouwhorst        Indiana Tech                            28:00.9  3:30/K    JR
  134    DNS    652  Philip Merrell        Unattached                              28:01.9  3:30/K
  135  (> 7)    552  Tyler Kennedy         Ohio Northern                           28:03.5  3:30/K    FR
  136    DNS    675  Alexander Pollack     Unattached                              28:03.5  3:30/K
  137     93    271  Brandon George        Davenport                               28:04.4  3:31/K    JR
  138     94    501  Ahron Gunn            Madonna                                 28:05.8  3:31/K    23
  139  (> 7)     94  Adam Cichon           Aquinas                                 28:06.2  3:31/K    FR
  140     95    394  Jesse Rudolph         Heidelberg                              28:07.2  3:31/K    SO
  141  (> 7)    565  Cameron Rusnak        Ohio Northern                           28:07.7  3:31/K    SO
  142  (> 7)    105  Nicholas Tarsa        Aquinas                                 28:08.0  3:31/K    FR
  143  (> 7)    624  Joseph Parochetti     St. Francis (Ill.)                      28:08.0  3:31/K    FR
  144     96    274  Mason Przybysz        Davenport                               28:09.6  3:31/K    JR
